environment,batch_size,experiment,total_operations,duration
epochlock_op,1,0,32,3.210943455000006
epochlock_op,2,0,32,3.2105855020000718
epochlock_op,4,0,32,3.2107338289999916
epochlock_op,8,0,32,3.210152127000015
epochlock_op,16,0,32,3.212213410000004
epochlock_op,32,0,32,3.2101987789999384
environment,batch_size,experiment,total_operations,duration
epochlock_op,1,0,32,0.0007989050000105635
epochlock_op,2,0,32,0.0007000049999987823
epochlock_op,4,0,32,0.0010994070000833744
epochlock_op,8,0,32,0.0006709049998789851
epochlock_op,16,0,32,0.0007060039999942092
epochlock_op,32,0,32,0.0007711060000019643
environment,batch_size,experiment,total_operations,duration
epochlock_op,1,0,32,0.0007982030001585372
epochlock_op,2,0,32,0.0006505030000880652
epochlock_op,4,0,32,0.0011454049999883864
epochlock_op,8,0,32,0.0006868030000077852
epochlock_op,16,0,32,0.0006576030000360333
epochlock_op,32,0,32,0.0006909029998496408
environment,batch_size,experiment,total_operations,duration
epochlock_op,1,0,64,178.5855748653412
epochlock_op,1,1,64,183.31916213035583
epochlock_op,1,2,64,178.8040270805359
epochlock_op,1,3,64,181.54359030723572
epochlock_op,1,4,64,180.95883870124817
epochlock_op,2,0,64,171.16791701316833
epochlock_op,2,1,64,170.94788599014282
epochlock_op,2,2,64,170.3195457458496
epochlock_op,2,3,64,170.46946787834167
epochlock_op,2,4,64,171.99863505363464
epochlock_op,4,0,64,165.87875699996948
epochlock_op,4,1,64,166.97354197502136
epochlock_op,4,2,64,166.22609114646912
epochlock_op,4,3,64,167.03011202812195
epochlock_op,4,4,64,171.1171271800995
epochlock_op,8,0,64,169.15442514419556
epochlock_op,8,1,64,164.244567155838
epochlock_op,8,2,64,164.48808693885803
epochlock_op,8,3,64,162.88111114501953
epochlock_op,8,4,64,167.12581300735474
epochlock_op,16,0,64,166.80011582374573
epochlock_op,16,1,64,166.30573296546936
epochlock_op,16,2,64,164.42302823066711
epochlock_op,16,3,64,164.06856107711792
epochlock_op,16,4,64,162.98491883277893
epochlock_op,32,0,64,164.1132881641388
epochlock_op,32,1,64,164.70102906227112
epochlock_op,32,2,64,165.5042028427124
epochlock_op,32,3,64,162.87870573997498
epochlock_op,32,4,64,167.4514741897583
environment,batch_size,experiment,total_operations,duration
epochlock_op_llama,1,0,1,12.084110975265503
epochlock_op_llama,2,0,1,7.867813110351562e-06
epochlock_op_llama,4,0,1,6.9141387939453125e-06
epochlock_op_llama,8,0,1,6.198883056640625e-06
epochlock_op_llama,16,0,1,5.7220458984375e-06
epochlock_op_llama,32,0,1,5.7220458984375e-06
environment,batch_size,experiment,total_operations,duration
epochlock_op_llama,1,0,16,302.13794708251953
epochlock_op_llama,1,1,16,245.99469590187073
epochlock_op_llama,1,2,16,252.6271688938141
epochlock_op_llama,1,3,16,255.32825088500977
epochlock_op_llama,1,4,16,279.9574851989746
epochlock_op_llama,2,0,16,258.7549681663513
epochlock_op_llama,2,1,16,252.43586707115173
epochlock_op_llama,2,2,16,252.50556683540344
epochlock_op_llama,2,3,16,247.9534251689911
epochlock_op_llama,2,4,16,264.7335000038147
epochlock_op_llama,4,0,16,237.31220984458923
epochlock_op_llama,4,1,16,259.3871259689331
epochlock_op_llama,4,2,16,262.6234996318817
epochlock_op_llama,4,3,16,269.16296195983887
epochlock_op_llama,4,4,16,256.594765663147
epochlock_op_llama,8,0,16,252.51986408233643
epochlock_op_llama,8,1,16,245.1232259273529
epochlock_op_llama,8,2,16,252.3234441280365
epochlock_op_llama,8,3,16,241.08761882781982
epochlock_op_llama,8,4,16,276.5642068386078
epochlock_op_llama,16,0,16,257.69337582588196
epochlock_op_llama,16,1,16,264.19234895706177
epochlock_op_llama,16,2,16,257.06813788414
epochlock_op_llama,16,3,16,272.6048378944397
epochlock_op_llama,16,4,16,254.36163997650146
epochlock_op_llama,32,0,16,7.152557373046875e-06
epochlock_op_llama,32,1,16,6.198883056640625e-06
epochlock_op_llama,32,2,16,5.245208740234375e-06
epochlock_op_llama,32,3,16,5.0067901611328125e-06
epochlock_op_llama,32,4,16,6.198883056640625e-06
